 ******* Program HYDRUS
 ******* 
 PFOS                                                                    
 Date:   8.11.2022    Time:  15:44:14
 Units: L = cm   , T = days , M = µg   
 
 CosAlf,MaxIt,TolTh,  TolH
 0.000   11   0.001 1.00000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     F     F     F     F     F     F     F     F     F     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1      0.000   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
   2     -2.105   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
   3     -4.211   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
   4     -6.316   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
   5     -8.421   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
   6    -10.526   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
   7    -12.632   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
   8    -14.737   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
   9    -16.842   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
  10    -18.947   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
  11    -21.053   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
  12    -23.158   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
  13    -25.263   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
  14    -27.368   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
  15    -29.474   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
  16    -31.579   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
  17    -33.684   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
  18    -35.789   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
  19    -37.895   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
  20    -40.000   -100.000    1    1   0.000    1.000    1.000    1.000   20.00  0.3200E-01  0.5300E-02
end

 Number of species in the chain :   1


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.200  0.400   0.400E+01   0.400E+01   0.100E+02  0.500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S          Kv
 
  0.2043  -0.900E+00 -0.4576E-01  0.1414E-01  0.2883E-04 -0.4540E+01    0.0213  0.7209E-08
  0.2042  -0.902E+00 -0.4488E-01  0.1403E-01  0.2828E-04 -0.4549E+01    0.0212  0.7212E-08
  0.2042  -0.904E+00 -0.4400E-01  0.1392E-01  0.2774E-04 -0.4557E+01    0.0211  0.7215E-08
  0.2042  -0.905E+00 -0.4312E-01  0.1380E-01  0.2722E-04 -0.4565E+01    0.0210  0.7218E-08
  0.2042  -0.907E+00 -0.4224E-01  0.1369E-01  0.2670E-04 -0.4574E+01    0.0208  0.7221E-08
  0.2041  -0.909E+00 -0.4136E-01  0.1359E-01  0.2619E-04 -0.4582E+01    0.0207  0.7224E-08
  0.2041  -0.911E+00 -0.4048E-01  0.1348E-01  0.2570E-04 -0.4590E+01    0.0206  0.7227E-08
  0.2041  -0.913E+00 -0.3960E-01  0.1337E-01  0.2521E-04 -0.4598E+01    0.0205  0.7230E-08
  0.2041  -0.915E+00 -0.3872E-01  0.1326E-01  0.2473E-04 -0.4607E+01    0.0203  0.7233E-08
  0.2040  -0.917E+00 -0.3783E-01  0.1316E-01  0.2426E-04 -0.4615E+01    0.0202  0.7236E-08
  0.2040  -0.918E+00 -0.3695E-01  0.1305E-01  0.2380E-04 -0.4623E+01    0.0201  0.7239E-08
  0.2040  -0.920E+00 -0.3607E-01  0.1295E-01  0.2335E-04 -0.4632E+01    0.0200  0.7242E-08
  0.2040  -0.922E+00 -0.3519E-01  0.1284E-01  0.2290E-04 -0.4640E+01    0.0198  0.7245E-08
  0.2039  -0.924E+00 -0.3431E-01  0.1274E-01  0.2247E-04 -0.4648E+01    0.0197  0.7248E-08
  0.2039  -0.926E+00 -0.3343E-01  0.1264E-01  0.2204E-04 -0.4657E+01    0.0196  0.7251E-08
  0.2039  -0.928E+00 -0.3255E-01  0.1254E-01  0.2162E-04 -0.4665E+01    0.0195  0.7254E-08
  0.2039  -0.930E+00 -0.3167E-01  0.1244E-01  0.2121E-04 -0.4673E+01    0.0194  0.7257E-08
  0.2039  -0.932E+00 -0.3079E-01  0.1234E-01  0.2081E-04 -0.4682E+01    0.0193  0.7260E-08
  0.2038  -0.933E+00 -0.2991E-01  0.1224E-01  0.2042E-04 -0.4690E+01    0.0191  0.7263E-08
